Year,Age,Sex,Income,Records
1988,11,F,L,1
1988,13,F,LM,4
1988,13,M,LM,3
1988,14,F,H,16
1988,14,F,L,2
1988,14,F,LM,17
1988,14,F,UM,9
1988,14,M,L,1
1988,15,F,H,83
1988,15,F,L,14
1988,15,F,LM,8
1988,15,F,UM,57
1988,15,M,H,5
1988,15,M,LM,3
1988,15,M,UM,11
1988,16,F,H,104
1988,16,F,L,16
1988,16,F,LM,20
1988,16,F,UM,43
1988,16,M,H,21
1988,16,M,L,8
1988,16,M,LM,10
1988,16,M,UM,5
1988,17,F,H,98
1988,17,F,L,40
1988,17,F,LM,23
1988,17,F,UM,56
1988,17,M,H,45
1988,17,M,L,13
1988,17,M,LM,34
1988,17,M,UM,17
1988,18,F,H,98
1988,18,F,L,20
1988,18,F,LM,25
1988,18,F,UM,54
1988,18,M,H,98
1988,18,M,L,21
1988,18,M,LM,38
1988,18,M,UM,63
1988,19,F,H,105
1988,19,F,L,20
1988,19,F,LM,29
1988,19,F,UM,53
1988,19,M,H,205
1988,19,M,L,48
1988,19,M,LM,75
1988,19,M,UM,74
1988,20,F,H,118
1988,20,F,L,22
1988,20,F,LM,31
1988,20,F,UM,38
1988,20,M,H,308
1988,20,M,L,74
1988,20,M,LM,92
1988,20,M,UM,117
1988,21,F,H,158
1988,21,F,L,21
1988,21,F,LM,22
1988,21,F,UM,33
1988,21,M,H,352
1988,21,M,L,71
1988,21,M,LM,114
1988,21,M,UM,140
1988,22,F,H,153
1988,22,F,L,20
1988,22,F,LM,26
1988,22,F,UM,41
1988,22,M,H,501
1988,22,M,L,60
1988,22,M,LM,107
1988,22,M,UM,92
1988,23,F,H,223
1988,23,F,L,18
1988,23,F,LM,21
1988,23,F,UM,29
1988,23,M,H,429
1988,23,M,L,91
1988,23,M,LM,101
1988,23,M,UM,150
1988,24,F,H,167
1988,24,F,L,28
1988,24,F,LM,31
1988,24,F,UM,19
1988,24,M,H,485
1988,24,M,L,72
1988,24,M,LM,131
1988,24,M,UM,96
1988,25,F,H,114
1988,25,F,L,25
1988,25,F,LM,14
1988,25,F,UM,20
1988,25,M,H,448
1988,25,M,L,94
1988,25,M,LM,84
1988,25,M,UM,94
1988,26,F,H,95
1988,26,F,L,16
1988,26,F,LM,19
1988,26,F,UM,21
1988,26,M,H,365
1988,26,M,L,55
1988,26,M,LM,98
1988,26,M,UM,99
1988,27,F,H,74
1988,27,F,L,10
1988,27,F,LM,5
1988,27,F,UM,6
1988,27,M,H,339
1988,27,M,L,30
1988,27,M,LM,75
1988,27,M,UM,66
1988,28,F,H,74
1988,28,F,L,4
1988,28,F,LM,12
1988,28,F,UM,7
1988,28,M,H,240
1988,28,M,L,54
1988,28,M,LM,61
1988,28,M,UM,75
1988,29,F,H,59
1988,29,F,L,4
1988,29,F,LM,7
1988,29,F,UM,9
1988,29,M,H,212
1988,29,M,L,25
1988,29,M,LM,49
1988,29,M,UM,40
1988,30,F,H,44
1988,30,F,L,3
1988,30,F,LM,6
1988,30,F,UM,8
1988,30,M,H,148
1988,30,M,L,21
1988,30,M,LM,50
1988,30,M,UM,24
1988,31,F,H,43
1988,31,F,L,5
1988,31,F,LM,4
1988,31,F,UM,4
1988,31,M,H,130
1988,31,M,L,14
1988,31,M,LM,29
1988,31,M,UM,11
1988,32,F,H,18
1988,32,F,L,3
1988,32,F,LM,5
1988,32,M,H,115
1988,32,M,L,11
1988,32,M,LM,17
1988,32,M,UM,20
1988,33,F,H,20
1988,33,F,L,1
1988,33,F,LM,10
1988,33,M,H,60
1988,33,M,L,4
1988,33,M,LM,16
1988,33,M,UM,9
1988,34,F,H,16
1988,34,F,LM,1
1988,34,F,UM,4
1988,34,M,H,51
1988,34,M,L,8
1988,34,M,LM,11
1988,34,M,UM,6
1988,35,F,H,8
1988,35,F,UM,1
1988,35,M,H,34
1988,35,M,L,3
1988,35,M,LM,3
1988,35,M,UM,6
1988,36,F,H,11
1988,36,F,LM,1
1988,36,M,H,43
1988,36,M,L,1
1988,36,M,LM,11
1988,36,M,UM,6
1988,37,F,H,8
1988,37,F,L,2
1988,37,F,UM,2
1988,37,M,H,20
1988,37,M,L,5
1988,37,M,LM,11
1988,37,M,UM,4
1988,38,F,H,3
1988,38,F,LM,1
1988,38,F,UM,1
1988,38,M,H,18
1988,38,M,L,1
1988,38,M,LM,2
1988,39,F,H,8
1988,39,F,UM,1
1988,39,M,H,29
1988,39,M,LM,7
1988,39,M,UM,4
1988,40,F,H,3
1988,40,M,H,14
1988,40,M,L,1
1988,40,M,LM,3
1988,40,M,UM,2
1988,41,F,H,8
1988,41,M,H,13
1988,41,M,L,1
1988,41,M,LM,7
1988,41,M,UM,3
1988,42,F,H,5
1988,42,M,H,4
1988,42,M,L,2
1988,42,M,LM,2
1988,42,M,UM,1
1988,43,F,H,6
1988,43,F,LM,1
1988,43,M,H,11
1988,43,M,LM,2
1988,43,M,UM,3
1988,44,M,H,12
1988,44,M,LM,1
1988,45,F,H,4
1988,45,M,H,4
1988,45,M,UM,1
1988,46,F,H,4
1988,46,M,H,5
1988,47,F,H,2
1988,47,M,H,14
1988,48,F,H,1
1988,48,M,H,4
1988,49,F,H,2
1988,49,M,H,2
1988,49,M,UM,1
1988,50,F,H,2
1988,50,F,LM,2
1988,50,M,H,3
1988,50,M,LM,1
1988,51,F,H,4
1988,51,M,H,1
1988,52,M,H,4
1988,52,M,LM,3
1988,53,F,H,2
1988,53,M,LM,1
1988,54,F,H,1
1988,54,M,H,3
1988,54,M,LM,2
1988,55,F,H,2
1988,56,M,UM,2
1988,60,M,H,1
1988,63,F,H,1
1992,11,M,H,1
1992,12,F,UM,2
1992,13,F,H,10
1992,13,F,L,1
1992,13,F,LM,7
1992,13,F,UM,1
1992,14,F,H,36
1992,14,F,L,7
1992,14,F,LM,6
1992,14,F,UM,8
1992,14,M,LM,2
1992,14,M,UM,5
1992,15,F,H,66
1992,15,F,L,25
1992,15,F,LM,34
1992,15,F,UM,31
1992,15,M,L,2
1992,15,M,UM,5
1992,16,F,H,124
1992,16,F,L,12
1992,16,F,LM,54
1992,16,F,UM,24
1992,16,M,H,14
1992,16,M,L,5
1992,16,M,LM,26
1992,16,M,UM,11
1992,17,F,H,113
1992,17,F,L,43
1992,17,F,LM,62
1992,17,F,UM,41
1992,17,M,H,49
1992,17,M,L,19
1992,17,M,LM,40
1992,17,M,UM,23
1992,18,F,H,118
1992,18,F,L,22
1992,18,F,LM,53
1992,18,F,UM,31
1992,18,M,H,103
1992,18,M,L,43
1992,18,M,LM,58
1992,18,M,UM,55
1992,19,F,H,171
1992,19,F,L,41
1992,19,F,LM,54
1992,19,F,UM,58
1992,19,M,H,178
1992,19,M,L,51
1992,19,M,LM,101
1992,19,M,UM,151
1992,20,F,H,205
1992,20,F,L,45
1992,20,F,LM,46
1992,20,F,UM,46
1992,20,M,H,344
1992,20,M,L,63
1992,20,M,LM,154
1992,20,M,UM,125
1992,21,F,H,189
1992,21,F,L,49
1992,21,F,LM,74
1992,21,F,UM,59
1992,21,M,H,436
1992,21,M,L,64
1992,21,M,LM,161
1992,21,M,UM,193
1992,22,F,H,220
1992,22,F,L,39
1992,22,F,LM,63
1992,22,F,UM,53
1992,22,M,H,554
1992,22,M,L,72
1992,22,M,LM,187
1992,22,M,UM,176
1992,23,F,H,224
1992,23,F,L,39
1992,23,F,LM,66
1992,23,F,UM,48
1992,23,M,H,505
1992,23,M,L,83
1992,23,M,LM,175
1992,23,M,UM,125
1992,24,F,H,219
1992,24,F,L,22
1992,24,F,LM,34
1992,24,F,UM,26
1992,24,M,H,598
1992,24,M,L,98
1992,24,M,LM,184
1992,24,M,UM,142
1992,25,F,H,232
1992,25,F,L,18
1992,25,F,LM,49
1992,25,F,UM,27
1992,25,M,H,483
1992,25,M,L,63
1992,25,M,LM,174
1992,25,M,UM,119
1992,26,F,H,182
1992,26,F,L,17
1992,26,F,LM,24
1992,26,F,UM,33
1992,26,M,H,432
1992,26,M,L,51
1992,26,M,LM,115
1992,26,M,UM,113
1992,27,F,H,154
1992,27,F,L,15
1992,27,F,LM,28
1992,27,F,UM,25
1992,27,M,H,422
1992,27,M,L,44
1992,27,M,LM,95
1992,27,M,UM,111
1992,28,F,H,173
1992,28,F,L,12
1992,28,F,LM,30
1992,28,F,UM,10
1992,28,M,H,326
1992,28,M,L,37
1992,28,M,LM,84
1992,28,M,UM,77
1992,29,F,H,116
1992,29,F,L,8
1992,29,F,LM,18
1992,29,F,UM,8
1992,29,M,H,258
1992,29,M,L,24
1992,29,M,LM,57
1992,29,M,UM,72
1992,30,F,H,84
1992,30,F,L,5
1992,30,F,LM,15
1992,30,F,UM,9
1992,30,M,H,252
1992,30,M,L,20
1992,30,M,LM,39
1992,30,M,UM,56
1992,31,F,H,51
1992,31,F,L,7
1992,31,F,LM,13
1992,31,F,UM,2
1992,31,M,H,186
1992,31,M,L,13
1992,31,M,LM,30
1992,31,M,UM,30
1992,32,F,H,55
1992,32,F,L,3
1992,32,F,LM,13
1992,32,F,UM,4
1992,32,M,H,137
1992,32,M,L,15
1992,32,M,LM,24
1992,32,M,UM,42
1992,33,F,H,25
1992,33,F,LM,6
1992,33,F,UM,9
1992,33,M,H,99
1992,33,M,L,1
1992,33,M,LM,28
1992,33,M,UM,23
1992,34,F,H,12
1992,34,F,LM,1
1992,34,F,UM,3
1992,34,M,H,75
1992,34,M,L,7
1992,34,M,LM,14
1992,34,M,UM,19
1992,35,F,H,21
1992,35,F,L,2
1992,35,F,LM,2
1992,35,F,UM,5
1992,35,M,H,50
1992,35,M,L,5
1992,35,M,LM,12
1992,35,M,UM,14
1992,36,F,H,16
1992,36,F,L,1
1992,36,F,UM,4
1992,36,M,H,51
1992,36,M,LM,3
1992,36,M,UM,10
1992,37,F,H,11
1992,37,F,LM,4
1992,37,M,H,23
1992,37,M,L,3
1992,37,M,LM,10
1992,37,M,UM,4
1992,38,F,H,1
1992,38,F,L,1
1992,38,F,UM,1
1992,38,M,H,23
1992,38,M,L,4
1992,38,M,LM,5
1992,38,M,UM,7
1992,39,F,H,5
1992,39,F,UM,2
1992,39,M,H,25
1992,39,M,LM,5
1992,39,M,UM,4
1992,40,F,H,12
1992,40,F,LM,1
1992,40,F,UM,1
1992,40,M,H,14
1992,40,M,UM,6
1992,41,F,H,5
1992,41,M,H,19
1992,41,M,L,3
1992,41,M,LM,4
1992,41,M,UM,2
1992,42,F,H,2
1992,42,F,LM,2
1992,42,F,UM,3
1992,42,M,H,13
1992,42,M,L,1
1992,42,M,LM,2
1992,42,M,UM,5
1992,43,F,H,1
1992,43,M,H,8
1992,43,M,LM,2
1992,43,M,UM,1
1992,44,F,H,3
1992,44,M,H,7
1992,44,M,LM,1
1992,44,M,UM,2
1992,45,F,H,2
1992,45,M,H,10
1992,45,M,LM,6
1992,46,F,H,2
1992,46,M,H,5
1992,46,M,UM,6
1992,47,F,H,2
1992,47,F,UM,1
1992,47,M,H,4
1992,48,F,UM,1
1992,48,M,H,4
1992,49,F,H,2
1992,49,M,H,6
1992,49,M,UM,2
1992,50,F,H,2
1992,50,M,H,3
1992,50,M,LM,1
1992,50,M,UM,4
1992,51,M,H,1
1992,51,M,UM,1
1992,52,F,H,2
1992,52,M,H,4
1992,53,F,H,2
1992,54,M,H,2
1992,56,M,H,2
1992,56,M,LM,1
1992,56,M,UM,2
1992,58,M,H,2
1992,58,M,LM,1
1992,61,M,UM,1
1992,62,M,H,1
1994,13,F,L,1
1994,13,F,LM,1
1994,13,F,UM,1
1994,14,F,UM,4
1994,15,F,L,1
1994,15,F,LM,1
1994,15,F,UM,3
1994,15,M,H,1
1994,15,M,UM,5
1994,16,F,H,5
1994,16,F,L,4
1994,16,F,LM,19
1994,16,F,UM,3
1994,16,M,H,12
1994,16,M,LM,2
1994,17,F,H,12
1994,17,F,L,4
1994,17,F,LM,6
1994,17,F,UM,10
1994,17,M,H,4
1994,17,M,L,2
1994,17,M,LM,3
1994,18,F,H,25
1994,18,F,L,2
1994,18,F,LM,12
1994,18,F,UM,26
1994,18,M,H,20
1994,18,M,L,3
1994,18,M,LM,7
1994,18,M,UM,3
1994,19,F,H,35
1994,19,F,LM,19
1994,19,F,UM,12
1994,19,M,H,40
1994,19,M,L,5
1994,19,M,LM,17
1994,19,M,UM,11
1994,20,F,H,30
1994,20,F,L,3
1994,20,F,LM,18
1994,20,F,UM,9
1994,20,M,H,56
1994,20,M,L,4
1994,20,M,LM,31
1994,20,M,UM,9
1994,21,F,H,48
1994,21,F,L,5
1994,21,F,LM,47
1994,21,F,UM,14
1994,21,M,H,111
1994,21,M,L,1
1994,21,M,LM,33
1994,21,M,UM,23
1994,22,F,H,58
1994,22,F,L,4
1994,22,F,LM,35
1994,22,F,UM,13
1994,22,M,H,131
1994,22,M,L,2
1994,22,M,LM,57
1994,22,M,UM,12
1994,23,F,H,76
1994,23,F,L,4
1994,23,F,LM,26
1994,23,M,H,151
1994,23,M,L,3
1994,23,M,LM,49
1994,23,M,UM,18
1994,24,F,H,68
1994,24,F,L,3
1994,24,F,LM,19
1994,24,F,UM,7
1994,24,M,H,133
1994,24,M,L,2
1994,24,M,LM,50
1994,24,M,UM,13
1994,25,F,H,49
1994,25,F,L,2
1994,25,F,LM,34
1994,25,M,H,111
1994,25,M,L,3
1994,25,M,LM,31
1994,25,M,UM,8
1994,26,F,H,43
1994,26,F,LM,13
1994,26,F,UM,3
1994,26,M,H,159
1994,26,M,L,3
1994,26,M,LM,33
1994,26,M,UM,15
1994,27,F,H,54
1994,27,F,LM,14
1994,27,F,UM,5
1994,27,M,H,90
1994,27,M,LM,31
1994,27,M,UM,13
1994,28,F,H,40
1994,28,F,LM,16
1994,28,F,UM,3
1994,28,M,H,90
1994,28,M,L,3
1994,28,M,LM,39
1994,28,M,UM,21
1994,29,F,H,19
1994,29,F,L,2
1994,29,F,LM,10
1994,29,F,UM,3
1994,29,M,H,60
1994,29,M,LM,26
1994,29,M,UM,6
1994,30,F,H,18
1994,30,F,LM,19
1994,30,M,H,55
1994,30,M,L,1
1994,30,M,LM,16
1994,30,M,UM,8
1994,31,F,H,17
1994,31,M,H,52
1994,31,M,LM,9
1994,31,M,UM,12
1994,32,F,H,13
1994,32,F,LM,4
1994,32,M,H,27
1994,32,M,LM,7
1994,32,M,UM,1
1994,33,F,H,9
1994,33,F,LM,7
1994,33,M,H,29
1994,33,M,L,1
1994,33,M,LM,2
1994,33,M,UM,1
1994,34,F,H,4
1994,34,F,LM,3
1994,34,M,H,10
1994,34,M,LM,5
1994,35,M,H,12
1994,35,M,LM,3
1994,35,M,UM,2
1994,36,F,H,2
1994,36,F,LM,1
1994,36,M,H,8
1994,36,M,L,1
1994,36,M,UM,2
1994,37,M,H,2
1994,37,M,LM,1
1994,38,F,H,4
1994,38,M,LM,1
1994,40,M,H,2
1994,43,M,H,3
1996,12,F,L,1
1996,13,F,H,3
1996,13,F,L,2
1996,13,F,LM,1
1996,13,F,UM,2
1996,14,F,H,37
1996,14,F,L,14
1996,14,F,LM,1
1996,14,F,UM,2
1996,14,M,H,1
1996,15,F,H,115
1996,15,F,L,17
1996,15,F,LM,56
1996,15,F,UM,22
1996,15,M,H,2
1996,15,M,LM,1
1996,15,M,UM,4
1996,16,F,H,117
1996,16,F,L,20
1996,16,F,LM,86
1996,16,F,UM,15
1996,16,M,H,12
1996,16,M,L,2
1996,16,M,LM,7
1996,16,M,UM,1
1996,17,F,H,97
1996,17,F,L,36
1996,17,F,LM,79
1996,17,F,UM,40
1996,17,M,H,27
1996,17,M,L,17
1996,17,M,LM,26
1996,17,M,UM,21
1996,18,F,H,162
1996,18,F,L,14
1996,18,F,LM,42
1996,18,F,UM,48
1996,18,M,H,56
1996,18,M,L,33
1996,18,M,LM,34
1996,18,M,UM,33
1996,19,F,H,125
1996,19,F,L,29
1996,19,F,LM,56
1996,19,F,UM,19
1996,19,M,H,119
1996,19,M,L,40
1996,19,M,LM,105
1996,19,M,UM,53
1996,20,F,H,137
1996,20,F,L,36
1996,20,F,LM,53
1996,20,F,UM,32
1996,20,M,H,173
1996,20,M,L,52
1996,20,M,LM,134
1996,20,M,UM,89
1996,21,F,H,175
1996,21,F,L,32
1996,21,F,LM,77
1996,21,F,UM,47
1996,21,M,H,263
1996,21,M,L,86
1996,21,M,LM,153
1996,21,M,UM,134
1996,22,F,H,149
1996,22,F,L,32
1996,22,F,LM,69
1996,22,F,UM,56
1996,22,M,H,344
1996,22,M,L,88
1996,22,M,LM,200
1996,22,M,UM,136
1996,23,F,H,176
1996,23,F,L,39
1996,23,F,LM,67
1996,23,F,UM,38
1996,23,M,H,408
1996,23,M,L,92
1996,23,M,LM,228
1996,23,M,UM,137
1996,24,F,H,202
1996,24,F,L,37
1996,24,F,LM,79
1996,24,F,UM,45
1996,24,M,H,367
1996,24,M,L,80
1996,24,M,LM,239
1996,24,M,UM,118
1996,25,F,H,182
1996,25,F,L,33
1996,25,F,LM,68
1996,25,F,UM,32
1996,25,M,H,344
1996,25,M,L,61
1996,25,M,LM,169
1996,25,M,UM,95
1996,26,F,H,183
1996,26,F,L,28
1996,26,F,LM,53
1996,26,F,UM,40
1996,26,M,H,384
1996,26,M,L,52
1996,26,M,LM,168
1996,26,M,UM,95
1996,27,F,H,184
1996,27,F,L,25
1996,27,F,LM,64
1996,27,F,UM,26
1996,27,M,H,323
1996,27,M,L,56
1996,27,M,LM,131
1996,27,M,UM,81
1996,28,F,H,145
1996,28,F,L,16
1996,28,F,LM,43
1996,28,F,UM,15
1996,28,M,H,266
1996,28,M,L,47
1996,28,M,LM,114
1996,28,M,UM,80
1996,29,F,H,123
1996,29,F,L,11
1996,29,F,LM,40
1996,29,F,UM,22
1996,29,M,H,189
1996,29,M,L,32
1996,29,M,LM,112
1996,29,M,UM,68
1996,30,F,H,96
1996,30,F,L,4
1996,30,F,LM,25
1996,30,F,UM,23
1996,30,M,H,184
1996,30,M,L,26
1996,30,M,LM,56
1996,30,M,UM,64
1996,31,F,H,91
1996,31,F,L,7
1996,31,F,LM,31
1996,31,F,UM,15
1996,31,M,H,117
1996,31,M,L,26
1996,31,M,LM,56
1996,31,M,UM,44
1996,32,F,H,68
1996,32,F,L,5
1996,32,F,LM,19
1996,32,F,UM,12
1996,32,M,H,128
1996,32,M,L,12
1996,32,M,LM,44
1996,32,M,UM,29
1996,33,F,H,51
1996,33,F,L,4
1996,33,F,LM,16
1996,33,F,UM,9
1996,33,M,H,92
1996,33,M,L,7
1996,33,M,LM,26
1996,33,M,UM,31
1996,34,F,H,45
1996,34,F,L,3
1996,34,F,LM,8
1996,34,F,UM,3
1996,34,M,H,96
1996,34,M,L,4
1996,34,M,LM,23
1996,34,M,UM,25
1996,35,F,H,29
1996,35,F,L,2
1996,35,F,LM,15
1996,35,F,UM,2
1996,35,M,H,70
1996,35,M,L,5
1996,35,M,LM,18
1996,35,M,UM,11
1996,36,F,H,21
1996,36,F,L,1
1996,36,F,LM,6
1996,36,F,UM,3
1996,36,M,H,42
1996,36,M,L,4
1996,36,M,LM,13
1996,36,M,UM,4
1996,37,F,H,24
1996,37,F,L,1
1996,37,F,LM,3
1996,37,F,UM,3
1996,37,M,H,39
1996,37,M,L,2
1996,37,M,LM,10
1996,37,M,UM,4
1996,38,F,H,15
1996,38,F,L,2
1996,38,F,LM,1
1996,38,M,H,29
1996,38,M,LM,6
1996,38,M,UM,7
1996,39,F,H,5
1996,39,F,L,2
1996,39,F,UM,1
1996,39,M,H,22
1996,39,M,LM,9
1996,39,M,UM,8
1996,40,F,H,3
1996,40,F,UM,2
1996,40,M,H,32
1996,40,M,LM,2
1996,40,M,UM,2
1996,41,F,H,7
1996,41,F,LM,2
1996,41,F,UM,1
1996,41,M,H,13
1996,41,M,LM,2
1996,41,M,UM,3
1996,42,F,H,3
1996,42,F,UM,1
1996,42,M,H,14
1996,42,M,LM,2
1996,42,M,UM,7
1996,43,F,H,4
1996,43,M,H,14
1996,43,M,L,1
1996,43,M,UM,4
1996,44,F,H,2
1996,44,F,LM,2
1996,44,M,H,12
1996,44,M,LM,1
1996,44,M,UM,1
1996,45,F,H,5
1996,45,M,H,8
1996,45,M,L,1
1996,45,M,LM,8
1996,45,M,UM,5
1996,46,M,H,5
1996,46,M,L,1
1996,46,M,LM,3
1996,47,F,H,2
1996,47,M,H,2
1996,48,F,H,2
1996,48,M,H,5
1996,49,F,H,2
1996,49,M,H,2
1996,49,M,LM,2
1996,50,F,H,4
1996,50,M,H,3
1996,50,M,UM,2
1996,51,F,H,2
1996,51,F,LM,1
1996,51,M,H,1
1996,51,M,LM,1
1996,53,M,H,6
1996,54,F,H,2
1996,54,M,UM,2
1996,56,M,H,2
1996,58,F,H,2
1996,62,M,H,2
1996,63,M,H,2
1996,63,M,UM,2
1998,14,M,UM,3
1998,15,F,H,2
1998,15,F,LM,2
1998,15,F,UM,1
1998,15,M,UM,3
1998,16,F,H,6
1998,16,F,L,3
1998,16,F,LM,3
1998,16,F,UM,11
1998,16,M,H,9
1998,16,M,L,1
1998,16,M,LM,1
1998,16,M,UM,5
1998,17,F,H,14
1998,17,F,L,4
1998,17,F,LM,1
1998,17,F,UM,8
1998,17,M,H,6
1998,17,M,L,2
1998,17,M,LM,2
1998,17,M,UM,12
1998,18,F,H,22
1998,18,F,L,10
1998,18,F,LM,6
1998,18,F,UM,14
1998,18,M,H,25
1998,18,M,L,2
1998,18,M,LM,7
1998,18,M,UM,8
1998,19,F,H,32
1998,19,F,L,7
1998,19,F,LM,12
1998,19,F,UM,4
1998,19,M,H,16
1998,19,M,L,9
1998,19,M,LM,18
1998,19,M,UM,16
1998,20,F,H,44
1998,20,F,L,11
1998,20,F,LM,22
1998,20,F,UM,15
1998,20,M,H,60
1998,20,M,L,2
1998,20,M,LM,29
1998,20,M,UM,22
1998,21,F,H,61
1998,21,F,L,9
1998,21,F,LM,23
1998,21,F,UM,14
1998,21,M,H,84
1998,21,M,L,5
1998,21,M,LM,28
1998,21,M,UM,26
1998,22,F,H,83
1998,22,F,L,5
1998,22,F,LM,31
1998,22,F,UM,14
1998,22,M,H,91
1998,22,M,L,4
1998,22,M,LM,20
1998,22,M,UM,13
1998,23,F,H,107
1998,23,F,L,6
1998,23,F,LM,17
1998,23,F,UM,7
1998,23,M,H,102
1998,23,M,L,7
1998,23,M,LM,40
1998,23,M,UM,27
1998,24,F,H,85
1998,24,F,L,11
1998,24,F,LM,10
1998,24,F,UM,16
1998,24,M,H,130
1998,24,M,L,5
1998,24,M,LM,39
1998,24,M,UM,33
1998,25,F,H,86
1998,25,F,L,7
1998,25,F,LM,31
1998,25,F,UM,17
1998,25,M,H,142
1998,25,M,L,1
1998,25,M,LM,34
1998,25,M,UM,26
1998,26,F,H,75
1998,26,F,L,2
1998,26,F,LM,24
1998,26,F,UM,6
1998,26,M,H,115
1998,26,M,L,2
1998,26,M,LM,48
1998,26,M,UM,18
1998,27,F,H,57
1998,27,F,LM,18
1998,27,F,UM,6
1998,27,M,H,134
1998,27,M,L,1
1998,27,M,LM,43
1998,27,M,UM,23
